img_id,Time_of_Day,Weather_Condition,Road_Environment_Type,Road_Surface_Condition,Traffic_Density,Pedestrian_Presence,Cyclist_Presence,Number_of_Visible_Lanes,Intersection_Type,Lane_Marking_Visibility,Artificial_Lighting_Source,Crosswalk_Presence,Vertical_Road_Profile,Horizontal_Road_Curvature,Infrastructure_Barriers,Building_Density,Vegetation_Level,Traffic_Sign_Presence,Vehicle_Composition,Ego_Vehicle_Lane_Position,Ego_Vehicle_Lane_POSITION
41690,Daylight,Rainy,Urban,Wet,Moderate,None,No,2,None,Occluded_by_Snow/Water,None,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
91077,Daylight,Clear,Tunnel,Dry,Low,None,No,2,None,Clear,Tunnel_Lights,No,Flat,Straight,Curb,None,None,Directional,Passenger_Cars_Only,Centered,
79421,Daylight,Clear,Urban,Dry,Empty,None,No,1,None,Absent,None,No,Flat,Straight,Metal_Guardrail,Industrial,Dense_Forest,Multiple_Types,No_Vehicles,Centered,
11937,Daylight,Clear,Urban,Dry,Low,None,No,2,None,Clear,None,No,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
5803,Daylight,Cloudy,Highway,Dry,Low,On_Sidewalk,No,3,None,Clear,None,No,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Moderate,None,Mixed_Heavy_Traffic,Centered,
54961,Dawn/Dusk,Clear,Highway,Dry,Low,None,No,2,None,Clear,None,No,Flat,Slight_Right,Metal_Guardrail,Sparse/Rural,Moderate,None,Passenger_Cars_Only,Centered,
45653,Night,Clear,Residential,Dry,Low,None,Yes,2,Four-Way,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
65572,Daylight,Cloudy,Urban,Wet,Low,None,No,2,None,Clear,None,No,Flat,Straight,Curb,Industrial,Sparse,None,Passenger_Cars_Only,Centered,
99862,Night,Clear,Urban,Dry,Moderate,None,No,2,T-Junction,Faded,Street_Lights,No,Flat,Slight_Right,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
98274,Daylight,Cloudy,Rural,Slushy,Low,None,No,2,None,Clear,None,No,Flat,Straight,Curb,Sparse/Rural,Moderate,Directional,Passenger_Cars_Only,Centered,
82433,Daylight,Clear,Tunnel,Dry,Low,None,No,3,None,Clear,Tunnel_Lights,No,Flat,Straight,Noise_Wall,None,None,Directional,Mixed_Heavy_Traffic,Centered,
78896,Daylight,Cloudy,Urban,Dry,Moderate,None,No,3,Four-Way,Clear,None,Yes,Flat,Straight,Curb,High_Rise,Park-like,Multiple_Types,Passenger_Cars_Only,Centered,
7981,Dawn/Dusk,Cloudy,Urban,Dry,Moderate,None,No,2,None,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
3935,Twilight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,Four-Way,Clear,Street_Lights,No,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,Centered,
5874,Twilight,Cloudy,Urban,Dry,Moderate,Crossing_Road,No,2,Four-Way,Clear,Vehicle_Headlights,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,
66669,Daylight,Cloudy,Rural,Wet,Empty,None,No,2,None,Faded,None,No,Flat,Straight,None,Sparse/Rural,Sparse,Directional,No_Vehicles,Centered,
37170,Daylight,Cloudy,Urban,Dry,Low,None,No,2,None,Clear,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Public_Transit_Focus,Centered,
37300,Daylight,Cloudy,Urban,Dry,Low,None,No,2,None,Clear,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,Mixed_Heavy_Traffic,Centered,
31495,Daylight,Rainy,Urban,Wet,High/Congested,On_Sidewalk,No,3,Four-Way,Occluded_by_Snow/Water,Vehicle_Headlights,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Public_Transit_Focus,Centered,
32123,Night,Clear,Highway,Dry,Low,None,No,3,None,Clear,Street_Lights,No,Flat,Straight,Concrete_Median,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered,
81956,Daylight,Cloudy,Highway,Dry,Low,None,No,3,None,Clear,None,No,Flat,Straight,Concrete_Median,None,Moderate,None,Passenger_Cars_Only,Centered,
66247,Dawn/Dusk,Clear,Urban,Dry,Low,None,No,2,None,Clear,Street_Lights,No,Flat,Slight_Left,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,
28824,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,None,Yes,Flat,Straight,Curb,Low_Density_Urban,Park-like,Multiple_Types,Passenger_Cars_Only,Centered,
31417,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,None,Clear,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,Mixed_Heavy_Traffic,Centered,
4260,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,3,None,Clear,None,No,Flat,Straight,Metal_Guardrail,High_Rise,Moderate,Directional,Passenger_Cars_Only,Centered,
2752,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,1,Four-Way,Absent,None,No,Flat,Straight,Curb,High_Rise,Sparse,Directional,Passenger_Cars_Only,Centered,
10020,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,Four-Way,Clear,None,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
10084,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,2,None,Clear,None,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Public_Transit_Focus,Centered,
93757,Daylight,Clear,Highway,Dry,Low,None,No,3,None,Clear,None,No,Flat,Straight,Concrete_Median,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
90740,Night,Clear,Highway,Dry,Low,None,No,2,None,Clear,Street_Lights,No,Uphill,Straight,Metal_Guardrail,None,Moderate,None,Passenger_Cars_Only,Centered,
29128,Daylight,Clear,Urban,Dry,Low,Crossing_Road,No,3,Four-Way,Clear,None,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
10805,Daylight,Cloudy,Residential,Dry,Moderate,None,No,1,None,Absent,None,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,
44870,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,None,Yes,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
95732,Night,Clear,Highway,Dry,Low,None,No,3,None,Clear,Street_Lights,No,Flat,Straight,Concrete_Median,Low_Density_Urban,Sparse,None,Passenger_Cars_Only,Centered,
8102,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,3,Four-Way,Clear,None,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Public_Transit_Focus,Centered,
33552,Dawn/Dusk,Rainy,Residential,Wet,Empty,On_Sidewalk,No,2,None,Occluded_by_Snow/Water,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,No_Vehicles,Centered,
42342,Daylight,Clear,Urban,Dry,Moderate,None,No,2,None,Clear,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
7126,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,Four-Way,Clear,None,Yes,Flat,Straight,Curb,Low_Density_Urban,Park-like,Multiple_Types,Passenger_Cars_Only,Centered,
28342,Dawn/Dusk,Cloudy,Residential,Dry,Low,None,No,2,None,Absent,Building_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,
53586,Dawn/Dusk,Clear,Highway,Dry,Low,None,No,2,None,Clear,Street_Lights,No,Downhill,Straight,Metal_Guardrail,Sparse/Rural,Moderate,Directional,Passenger_Cars_Only,Centered,
70320,Daylight,Snowy,Rural,Snow_Covered,Empty,None,No,2,None,Occluded_by_Snow/Water,None,No,Flat,Straight,None,None,Dense_Forest,None,No_Vehicles,Centered,
62519,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,Four-Way,Clear,None,No,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Mixed_Heavy_Traffic,Centered,
97769,Daylight,Clear,Highway,Dry,Low,None,No,3,None,Clear,None,No,Flat,Straight,Concrete_Median,None,Moderate,Directional,Passenger_Cars_Only,Centered,
256,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,Yes,2,Four-Way,Clear,None,Yes,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
12152,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,3,Four-Way,Clear,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
93039,Daylight,Cloudy,Highway,Dry,Low,None,No,3,None,Clear,None,No,Flat,Straight,Concrete_Median,Industrial,Moderate,Directional,Passenger_Cars_Only,Centered,
35043,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,None,Clear,None,No,Flat,Straight,Curb,Low_Density_Urban,Park-like,None,Passenger_Cars_Only,Centered,
68846,Daylight,Clear,Urban,Dry,Low,None,No,2,None,Clear,None,No,Flat,Straight,Concrete_Median,Low_Density_Urban,Park-like,Multiple_Types,Passenger_Cars_Only,Centered,
61650,Dawn/Dusk,Clear,Highway,Dry,Low,None,No,2,None,Clear,None,No,Flat,Straight,Metal_Guardrail,Sparse/Rural,Moderate,None,Passenger_Cars_Only,Centered,
76849,Daylight,Cloudy,Highway,Dry,Low,None,No,3,None,Clear,None,No,Flat,Straight,Concrete_Median,None,Moderate,Directional,Mixed_Heavy_Traffic,Centered,
94096,Daylight,Cloudy,Highway,Dry,Low,None,No,3,None,Clear,None,No,Flat,Straight,Metal_Guardrail,Sparse/Rural,Moderate,Directional,Passenger_Cars_Only,Centered,
5915,Daylight,Clear,Urban,Dry,Empty,Crossing_Road,No,1,None,Absent,None,No,Flat,Straight,Curb,High_Rise,None,Directional,No_Vehicles,Centered,
1851,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,None,Clear,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
70626,Daylight,Cloudy,Highway,Wet,Moderate,None,No,3,None,Clear,None,No,Flat,Straight,Metal_Guardrail,Sparse/Rural,Moderate,Directional,Mixed_Heavy_Traffic,Centered,
99145,Night,Clear,Highway,Dry,Low,None,No,2,None,Clear,Vehicle_Headlights,No,Flat,Straight,Metal_Guardrail,None,Dense_Forest,Directional,Passenger_Cars_Only,Centered,
72090,Daylight,Cloudy,Urban,Dry,Moderate,None,No,3,Four-Way,Clear,None,No,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
17251,Twilight,Cloudy,Residential,Dry,Low,On_Sidewalk,Yes,2,Roundabout,Clear,Building_Lights,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
37519,Night,Clear,Urban,Dry,Low,None,No,2,T-Junction,Faded,Street_Lights,No,Uphill,Slight_Right,Curb,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered,
71420,Night,Clear,Rural,Dry,Low,None,No,2,None,Clear,Vehicle_Headlights,No,Flat,Straight,None,Sparse/Rural,Sparse,None,Passenger_Cars_Only,Centered,
10080,Daylight,Cloudy,Urban,Dry,Low,None,No,2,None,Clear,None,Yes,Flat,Slight_Left,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
18411,Daylight,Clear,Urban,Dry,Low,Crossing_Road,No,2,Four-Way,Clear,None,Yes,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
43319,Daylight,Cloudy,Urban,Dry,Moderate,None,No,1,None,Absent,None,No,Flat,Slight_Right,Curb,High_Rise,Sparse,None,Passenger_Cars_Only,Centered,
30863,Night,Clear,Urban,Dry,Low,On_Sidewalk,No,3,Four-Way,Clear,Street_Lights,Yes,Flat,Straight,Curb,High_Rise,None,Directional,Passenger_Cars_Only,Centered,
98828,Daylight,Clear,Highway,Dry,Low,None,No,3,None,Clear,None,No,Flat,Straight,Concrete_Median,None,Moderate,Directional,Passenger_Cars_Only,Centered,
14394,Daylight,Clear,Urban,Dry,Low,None,No,2,None,Faded,None,No,Flat,Straight,Concrete_Median,High_Rise,Park-like,Multiple_Types,Passenger_Cars_Only,Centered,
34529,Daylight,Rainy,Residential,Wet,Low,On_Sidewalk,No,2,None,Faded,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,
54956,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,Four-Way,Clear,None,No,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
34434,Daylight,Cloudy,Residential,Dry,Moderate,None,No,1,None,Clear,None,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,None,Passenger_Cars_Only,Centered,
14584,Daylight,Cloudy,Urban,Dry,High/Congested,On_Sidewalk,No,3,Four-Way,Clear,None,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Public_Transit_Focus,Centered,
76234,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,1,None,Faded,None,No,Flat,Straight,Curb,High_Rise,Moderate,Directional,Passenger_Cars_Only,Centered,
87321,Daylight,Cloudy,Highway,Dry,Low,None,No,5+,None,Clear,None,No,Flat,Straight,Concrete_Median,Low_Density_Urban,Sparse,Directional,Mixed_Heavy_Traffic,Centered,
92938,Daylight,Cloudy,Rural,Dry,Low,None,No,2,None,Clear,None,No,Flat,Slight_Right,Curb,Sparse/Rural,Moderate,Warning,Passenger_Cars_Only,Centered,
79009,Daylight,Cloudy,Rural,Dry,Low,None,No,2,None,Clear,None,No,Flat,Straight,None,Sparse/Rural,Moderate,None,Passenger_Cars_Only,Centered,
85799,Night,Clear,Highway,Dry,Low,None,No,3,None,Clear,Street_Lights,No,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered,
52303,Night,Rainy,Urban,Wet,Moderate,None,Yes,3,Four-Way,Occluded_by_Snow/Water,Street_Lights,No,Flat,Straight,Concrete_Median,None,Dense_Forest,Multiple_Types,Passenger_Cars_Only,Centered,
78878,Night,Clear,Tunnel,Dry,Low,None,No,2,None,Clear,Tunnel_Lights,No,Flat,Straight,Concrete_Median,None,None,Directional,Passenger_Cars_Only,Centered,
92427,Daylight,Clear,Highway,Dry,Low,None,No,3,None,Clear,None,No,Flat,Slight_Right,Metal_Guardrail,Sparse/Rural,Moderate,Directional,Passenger_Cars_Only,Centered,
21892,Daylight,Clear,Urban,Dry,Low,None,No,1,None,Absent,None,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered,
20346,Dawn/Dusk,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,None,Clear,Street_Lights,No,Flat,Slight_Right,Curb,High_Rise,Moderate,Regulatory,Passenger_Cars_Only,Centered,
3100,Night,Clear,Residential,Dry,Low,None,No,2,None,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,None,Passenger_Cars_Only,Centered,
59148,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,3,None,Clear,None,No,Flat,Straight,Concrete_Median,High_Rise,Sparse,Directional,Public_Transit_Focus,Centered,
91120,Daylight,Snowy,Rural,Snow_Covered,Empty,None,No,2,None,Occluded_by_Snow/Water,None,No,Flat,Straight,None,Sparse/Rural,Dense_Forest,None,No_Vehicles,Centered,
67773,Daylight,Cloudy,Urban,Wet,Low,None,No,2,None,Clear,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Public_Transit_Focus,Centered,
98024,Daylight,Snowy,Rural,Snow_Covered,Empty,None,No,1,None,Occluded_by_Snow/Water,None,No,Flat,Straight,None,None,Dense_Forest,None,No_Vehicles,Centered,
25859,Daylight,Clear,Urban,Dry,Moderate,None,No,2,None,Clear,None,No,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
96816,Daylight,Cloudy,Urban,Dry,Low,None,Yes,2,None,Clear,None,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Public_Transit_Focus,Centered,
13591,Daylight,Cloudy,Residential,Dry,Low,Crossing_Road,Yes,2,Roundabout,Clear,None,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
19612,Dawn/Dusk,Cloudy,Urban,Dry,Low,None,Yes,2,T-Junction,Clear,Street_Lights,No,Flat,Straight,Curb,High_Rise,Moderate,Regulatory,Passenger_Cars_Only,Centered,
90239,Dawn/Dusk,Snowy,Rural,Snow_Covered,Empty,None,No,1,None,Occluded_by_Snow/Water,None,No,Flat,Straight,None,None,Dense_Forest,None,No_Vehicles,Centered,
10756,Daylight,Cloudy,Urban,Dry,Low,None,No,1,None,Absent,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,
35667,Night,Clear,Tunnel,Dry,Low,None,No,3,None,Clear,Tunnel_Lights,No,Flat,Straight,Noise_Wall,None,None,Directional,Passenger_Cars_Only,Centered,
55575,Night,Clear,Urban,Dry,Moderate,On_Sidewalk,Yes,1,None,Clear,Street_Lights,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
20383,Daylight,Rainy,Urban,Wet,Moderate,On_Sidewalk,No,2,None,Clear,Vehicle_Headlights,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Public_Transit_Focus,Centered,
45537,Daylight,Clear,Urban,Dry,Moderate,None,No,2,None,Faded,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,
93972,Dawn/Dusk,Snowy,Residential,Snow_Covered,Low,None,No,1,None,Occluded_by_Snow/Water,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Dense_Forest,None,Passenger_Cars_Only,Centered,
86240,Dawn/Dusk,Cloudy,Rural,Wet,Empty,None,No,1,None,Absent,None,No,Flat,Straight,None,Sparse/Rural,Sparse,Regulatory,No_Vehicles,Centered,
96232,Dawn/Dusk,Cloudy,Rural,Wet,Low,None,No,2,None,Clear,Vehicle_Headlights,No,Flat,Straight,None,Sparse/Rural,Dense_Forest,None,Passenger_Cars_Only,Centered,
92623,Daylight,Snowy,Rural,Slushy,Low,None,No,2,None,Clear,None,No,Flat,Slight_Right,Metal_Guardrail,Sparse/Rural,Dense_Forest,None,No_Vehicles,Centered,
11124,Daylight,Cloudy,Urban,Dry,Moderate,None,No,2,None,Clear,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,
35149,Daylight,Clear,Urban,Dry,Moderate,None,No,2,Four-Way,Absent,None,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Warning,Passenger_Cars_Only,Centered,
18895,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,None,Clear,None,No,Flat,Straight,Curb,High_Rise,Moderate,Directional,Passenger_Cars_Only,Centered,
25016,Daylight,Cloudy,Urban,Dry,Low,None,Yes,2,None,Clear,None,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,
33030,Daylight,Cloudy,Residential,Dry,Moderate,None,No,1,None,Absent,None,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,None,Passenger_Cars_Only,Centered,
29181,Dawn/Dusk,Cloudy,Urban,Dry,Empty,None,No,1,None,Faded,Street_Lights,No,Flat,Straight,Noise_Wall,Industrial,Moderate,Multiple_Types,No_Vehicles,Centered,
38299,Daylight,Rainy,Urban,Wet,Moderate,None,No,2,Four-Way,Occluded_by_Snow/Water,None,No,Flat,Slight_Right,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
5718,Daylight,Cloudy,Urban,Dry,Low,None,No,2,None,Clear,None,No,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
61626,Daylight,Clear,Highway,Dry,Low,None,No,2,None,Clear,None,No,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Moderate,Directional,Mixed_Heavy_Traffic,Centered,
91436,Daylight,Clear,Highway,Dry,Low,None,No,3,None,Clear,None,No,Flat,Straight,Noise_Wall,Sparse/Rural,Dense_Forest,None,Passenger_Cars_Only,Centered,
49814,Night,Clear,Urban,Dry,Moderate,None,No,3,None,Clear,Street_Lights,No,Flat,Straight,Concrete_Median,Low_Density_Urban,None,Directional,Mixed_Heavy_Traffic,Centered,
67832,Dawn/Dusk,Cloudy,Urban,Wet,Moderate,None,No,3,Four-Way,Clear,Vehicle_Headlights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Mixed_Heavy_Traffic,Centered,
7419,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,3,Four-Way,Clear,None,Yes,Flat,Straight,Curb,Low_Density_Urban,Park-like,Multiple_Types,Passenger_Cars_Only,Centered,
37307,Dawn/Dusk,Clear,Residential,Dry,Low,None,No,2,None,Absent,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,
64087,Daylight,Clear,Highway,Dry,Low,None,No,2,None,Clear,None,No,Flat,Straight,Concrete_Median,Industrial,Moderate,Directional,Passenger_Cars_Only,Centered,
78161,Daylight,Cloudy,Rural,Dry,Low,None,No,2,None,Clear,None,No,Uphill,Straight,Metal_Guardrail,Sparse/Rural,Dense_Forest,Directional,Passenger_Cars_Only,Centered,
61354,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,None,Clear,None,No,Uphill,Slight_Right,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,
8133,Dawn/Dusk,Cloudy,Urban,Wet,Low,On_Sidewalk,No,2,None,Absent,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
74416,Night,Rainy,Highway,Wet,Low,None,No,2,None,Clear,Vehicle_Headlights,No,Flat,Straight,Metal_Guardrail,None,Sparse,None,Mixed_Heavy_Traffic,Centered,
74229,Daylight,Rainy,Highway,Wet,Moderate,None,No,2,None,Occluded_by_Snow/Water,Vehicle_Headlights,No,Uphill,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,
45889,Dawn/Dusk,Cloudy,Urban,Dry,Empty,None,No,2,None,Clear,None,Yes,Flat,Slight_Right,Concrete_Median,Low_Density_Urban,Park-like,Multiple_Types,No_Vehicles,Centered,
27855,Daylight,Cloudy,Residential,Dry,Low,On_Sidewalk,Yes,2,T-Junction,Clear,None,Yes,Downhill,Slight_Right,Curb,High_Rise,Moderate,Regulatory,Passenger_Cars_Only,Centered,
20473,Night,Clear,Urban,Dry,Low,None,No,3,Four-Way,Clear,Street_Lights,No,Flat,Straight,Metal_Guardrail,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
44144,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,None,Clear,None,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Directional,Mixed_Heavy_Traffic,Centered,
8344,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,Yes,2,None,Faded,None,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered,
29208,Daylight,Rainy,Urban,Wet,Low,On_Sidewalk,No,2,Four-Way,Clear,None,Yes,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
18185,Dawn/Dusk,Cloudy,Urban,Dry,Low,None,No,3,Four-Way,Clear,Street_Lights,Yes,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
64001,Daylight,Cloudy,Highway,Dry,Low,None,No,3,None,Clear,None,No,Flat,Straight,Concrete_Median,Sparse/Rural,Moderate,Multiple_Types,Mixed_Heavy_Traffic,Centered,
95383,Night,Clear,Highway,Dry,Low,None,No,2,None,Clear,Vehicle_Headlights,No,Flat,Straight,Metal_Guardrail,None,Sparse,Directional,Passenger_Cars_Only,Centered,
16563,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,Four-Way,Clear,None,No,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
7076,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,3,None,Clear,None,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
38090,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,None,Clear,None,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Public_Transit_Focus,Centered,
3418,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,None,Yes,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
79412,Daylight,Clear,Tunnel,Dry,Low,None,No,2,None,Clear,Tunnel_Lights,No,Flat,Straight,Metal_Guardrail,None,Sparse,None,Mixed_Heavy_Traffic,Centered,
6553,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,None,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
96745,Night,Clear,Highway,Dry,Low,None,No,3,None,Clear,Street_Lights,No,Flat,Straight,Noise_Wall,Low_Density_Urban,None,None,Passenger_Cars_Only,Centered,
35790,Twilight,Clear,Urban,Dry,High/Congested,On_Sidewalk,No,2,Four-Way,Faded,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
33785,Night,Clear,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Faded,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
85548,Daylight,Snowy,Rural,Snow_Covered,Low,None,No,2,None,Occluded_by_Snow/Water,None,No,Flat,Straight,None,None,Dense_Forest,Directional,Passenger_Cars_Only,Centered,
48312,Daylight,Rainy,Urban,Wet,Moderate,On_Sidewalk,No,2,Four-Way,Clear,None,Yes,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
43481,Daylight,Cloudy,Urban,Dry,Low,None,No,2,None,Clear,None,No,Uphill,Slight_Left,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
19500,Daylight,Clear,Urban,Dry,Low,None,No,2,None,Clear,None,No,Flat,Straight,Curb,High_Rise,Moderate,None,Passenger_Cars_Only,Centered,
33075,Daylight,Clear,Urban,Dry,Moderate,None,No,2,Roundabout,Clear,None,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
