,Time_of_Day,Weather_Condition,Road_Environment_Type,Road_Surface_Condition,Traffic_Density,Pedestrian_Presence,Cyclist_Presence,Number_of_Visible_Lanes,Intersection_Type,Lane_Marking_Visibility,Artificial_Lighting_Source,Crosswalk_Presence,Vertical_Road_Profile,Horizontal_Road_Curvature,Infrastructure_Barriers,Building_Density,Vegetation_Level,Traffic_Sign_Presence,Vehicle_Composition,Ego_Vehicle_Lane_Position,Ego_Vehicle_Lane_POSITION,conf,iou,lrp
20547,Daylight,Cloudy,Residential,Dry,Low,,No,2,,Clear,,No,Flat,Slight_Right,Curb,Low_Density_Urban,Moderate,Directional,Passenger_Cars_Only,Centered,,0.4566912191609542,0.0,0.0
20626,Daylight,Cloudy,Urban,Dry,Moderate,,No,3,Four-Way,Clear,,Yes,Flat,Slight_Right,Concrete_Median,Low_Density_Urban,Moderate,Multiple_Types,Mixed_Heavy_Traffic,Centered,,0.5735617211886814,0.0,0.0
20649,Dawn/Dusk,Cloudy,Residential,Dry,Low,On_Sidewalk,Yes,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.6455669412689824,0.0,0.0
20730,Daylight,Rainy,Urban,Wet,Low,,No,2,Four-Way,Occluded_by_Snow/Water,Vehicle_Headlights,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5481162503361702,0.0,0.0
20770,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,Yes,2,,Clear,,Yes,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.6044210851192474,0.0,0.0
20910,Daylight,Cloudy,Urban,Dry,Moderate,,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5634522230497429,0.0,0.0
20990,Daylight,Cloudy,Urban,Dry,Low,,No,2,,Faded,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.537585186958313,0.0,0.0
21002,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,3,Roundabout,Clear,,No,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Public_Transit_Focus,Centered,,0.5344644219559782,0.0,0.0
21093,Daylight,Cloudy,Residential,Dry,Low,On_Sidewalk,Yes,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.583529457449913,0.0,0.0
21243,Daylight,Rainy,Urban,Wet,Moderate,On_Sidewalk,No,3,,Occluded_by_Snow/Water,,No,Flat,Straight,Curb,High_Rise,,,Public_Transit_Focus,Centered,,0.5138576906174421,0.0,0.0
21271,Daylight,Cloudy,Residential,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,,Passenger_Cars_Only,Centered,,0.8189296672741572,0.0,0.0
21365,Dawn/Dusk,Cloudy,Residential,Dry,Moderate,,No,2,,Clear,Vehicle_Headlights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Mixed_Heavy_Traffic,Centered,,0.5772807236873743,0.0,0.0
21441,Daylight,Rainy,Urban,Wet,Low,On_Sidewalk,No,2,Four-Way,Occluded_by_Snow/Water,,Yes,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5072809933107111,0.0,0.0
21483,Daylight,Clear,Urban,Dry,Low,Near_Roadside,No,1,,Absent,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered,,0.5632585227489472,0.0,0.0
21522,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,3,Four-Way,Clear,,No,Flat,Straight,Curb,High_Rise,Sparse,Directional,Public_Transit_Focus,Centered,,0.5651716462203434,0.0,0.0
21529,Night,Clear,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,Street_Lights,No,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.4970690893630187,0.0,0.0
21892,Daylight,Clear,Urban,Dry,Low,,No,1,,Absent,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered,,0.6904418468475342,0.0,0.0
21931,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Slight_Right,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.439937694867452,0.0,0.0
21957,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,2,,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Mixed_Heavy_Traffic,Centered,,0.6084608886923109,0.0,0.0
22036,Daylight,Cloudy,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Concrete_Median,Low_Density_Urban,Sparse,Warning,Passenger_Cars_Only,Centered,,0.574160771150338,0.0,0.0
22226,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,Yes,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,,Passenger_Cars_Only,Centered,,0.6062348719154086,0.0,0.0
22499,Daylight,Clear,Urban,Dry,High/Congested,On_Sidewalk,No,2,Four-Way,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.6238476016691753,0.0,0.0
22537,Daylight,Cloudy,Urban,Dry,Low,,No,4,,Clear,,No,Flat,Straight,Concrete_Median,Low_Density_Urban,Park-like,Directional,Passenger_Cars_Only,Centered,,0.6925915797551473,0.0,0.0
23043,Dawn/Dusk,Clear,Residential,Dry,Low,,No,2,T-Junction,Absent,Building_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.5752436012932749,1.0,0.0
23293,Daylight,Clear,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,Passenger_Cars_Only,Centered,,0.6711480485068427,0.0,0.0
23634,Daylight,Cloudy,Urban,Dry,Moderate,,No,3,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5578057346209674,0.0,0.0
23795,Daylight,Cloudy,Residential,Dry,Low,,No,2,T-Junction,Absent,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5779296736354413,0.0,0.0
23860,Daylight,Cloudy,Highway,Slushy,Low,,No,2,,Faded,,No,Flat,Straight,Metal_Guardrail,Sparse/Rural,Dense_Forest,,Passenger_Cars_Only,Centered,,0.8362923860549927,0.0,0.0
23923,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,T-Junction,Absent,,No,Flat,Straight,Curb,High_Rise,,Regulatory,Passenger_Cars_Only,Centered,,0.6057606325263069,0.0,0.0
23960,Daylight,Clear,Highway,Dry,Low,,No,3,,Clear,,No,Flat,Straight,Concrete_Median,,Moderate,Directional,Passenger_Cars_Only,Centered,,0.6808691266924143,0.0,0.0
24078,Daylight,Cloudy,Urban,Dry,Moderate,,No,3,Four-Way,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered,,0.6539507066762006,0.0,0.0
24241,Daylight,Cloudy,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Park-like,Regulatory,Passenger_Cars_Only,Centered,,0.5223144988218943,0.0,0.0
24311,Daylight,Clear,Residential,Dry,Low,,No,1,,Absent,,No,Uphill,Straight,Curb,Low_Density_Urban,Moderate,,Passenger_Cars_Only,Centered,,0.6660812348127365,0.0,0.0
24319,Daylight,Cloudy,Urban,Dry,Low,,No,2,,Clear,,No,Downhill,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.6720902621746063,0.0,0.0
24325,Daylight,Cloudy,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,Passenger_Cars_Only,Centered,,0.4957089424133301,0.0,0.0
24379,Daylight,Rainy,Urban,Wet,Low,,No,2,,Clear,,Yes,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5609376196066539,0.0,0.0
24425,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,,Absent,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Warning,Passenger_Cars_Only,Centered,,0.5664169516828325,0.0,0.0
24437,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,Four-Way,Clear,,No,Flat,Straight,Curb,High_Rise,,Regulatory,Public_Transit_Focus,Centered,,0.5080159197633083,0.0,0.0
24618,Daylight,Cloudy,Urban,Dry,Low,,No,4,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Public_Transit_Focus,Centered,,0.6215075630208721,0.0,0.0
24888,Night,Clear,Urban,Wet,Moderate,On_Sidewalk,No,2,Four-Way,Clear,Street_Lights,No,Flat,Straight,Curb,High_Rise,Sparse,Directional,Passenger_Cars_Only,Centered,,0.4758085726305496,0.0,0.0
24937,Daylight,Clear,Urban,Dry,Moderate,,No,2,Four-Way,Clear,,No,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,,Centered,0.5886108654160653,0.0,0.0
25016,Daylight,Cloudy,Urban,Dry,Low,,Yes,2,,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5408123476164681,0.0,0.0
25204,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.6484666976489519,0.0,0.0
25524,Daylight,Cloudy,Residential,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,Passenger_Cars_Only,Centered,,0.6932166814804077,0.0,0.0
25616,Daylight,Clear,Urban,Dry,Low,,No,2,Roundabout,Clear,,No,Flat,Slight_Left,Metal_Guardrail,Low_Density_Urban,Moderate,Multiple_Types,Mixed_Heavy_Traffic,Centered,,0.530962303761513,0.0,0.0
25741,Daylight,Clear,Urban,Dry,Moderate,,No,2,Four-Way,Clear,,No,Uphill,Straight,Curb,High_Rise,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.5925148837268353,0.0,0.0
25859,Daylight,Clear,Urban,Dry,Moderate,,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.6349592913801854,0.0,0.0
25864,Daylight,Cloudy,Urban,Dry,Moderate,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.7011350656256956,0.0,0.0
25874,Dawn/Dusk,Cloudy,Urban,Dry,Moderate,,No,2,,Clear,Street_Lights,No,Flat,Slight_Left,Curb,High_Rise,Moderate,Multiple_Types,Mixed_Heavy_Traffic,Centered,,0.541276265349653,0.0,0.0
26474,Daylight,Rainy,Urban,Wet,Moderate,On_Sidewalk,No,3,Four-Way,Occluded_by_Snow/Water,Vehicle_Headlights,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5488897483795881,0.0,0.0
26612,Daylight,Cloudy,Residential,Dry,Low,On_Sidewalk,No,2,,Absent,,No,Flat,Slight_Right,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.5189603992870876,0.0,0.0
26755,Night,Clear,Urban,Dry,Empty,,No,1,,Faded,Street_Lights,No,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,No_Vehicles,Centered,,0.5447830491595798,0.0,0.0
26834,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,3,Four-Way,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,Passenger_Cars_Only,Centered,,0.5369076887145638,0.0,0.0
26995,Daylight,Cloudy,Residential,Dry,Low,,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5978802449173397,0.0,0.0
27073,Daylight,Clear,Highway,Dry,Low,,No,3,,Clear,,No,Flat,Straight,Noise_Wall,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered,,0.6040304682471536,0.0,0.0
27106,Daylight,Clear,Urban,Dry,Low,Crossing_Road,Yes,2,Four-Way,Faded,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5184711652833063,0.0,0.0
27433,Daylight,Clear,Rural,Dry,Empty,,No,2,,Clear,,No,Flat,Straight,,,Dense_Forest,,No_Vehicles,Centered,,0.0,0.0,0.0
27476,Night,Rainy,Urban,Wet,Low,On_Sidewalk,No,2,,Clear,Street_Lights,No,Flat,Straight,Concrete_Median,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5829787229498228,0.0,0.0
27629,Daylight,Clear,Urban,Dry,Low,,No,1,,Absent,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered,,0.518332733048333,0.0,0.0
27855,Daylight,Cloudy,Residential,Dry,Low,On_Sidewalk,Yes,2,T-Junction,Clear,,Yes,Downhill,Slight_Right,Curb,High_Rise,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.5994043633341789,0.0,0.0
28007,Daylight,Clear,Urban,Dry,Low,,No,1,,Clear,,No,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5535840101358367,0.0,0.0
28053,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,4,Four-Way,Clear,,Yes,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Mixed_Heavy_Traffic,Centered,,0.4696012803765594,0.0,0.0
28061,Twilight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,Building_Lights,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5325113241955385,0.0,0.0
28085,Daylight,Rainy,Urban,Wet,Moderate,On_Sidewalk,No,2,Four-Way,Occluded_by_Snow/Water,Vehicle_Headlights,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.569367854491524,0.0,0.0
28342,Dawn/Dusk,Cloudy,Residential,Dry,Low,,No,2,,Absent,Building_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.6428945973515511,0.0,0.0
28625,Daylight,Cloudy,Residential,Dry,Empty,,No,2,,Clear,,No,Flat,Slight_Right,Curb,Low_Density_Urban,Park-like,Regulatory,No_Vehicles,Centered,,0.46084869146347046,0.0,0.0
28824,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Park-like,Multiple_Types,Passenger_Cars_Only,Centered,,0.48604797619454404,0.0,0.0
29128,Daylight,Clear,Urban,Dry,Low,Crossing_Road,No,3,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5656196714817793,0.0,0.0
29176,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,Four-Way,Clear,,No,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.4940393368403117,0.0,0.0
29181,Dawn/Dusk,Cloudy,Urban,Dry,Empty,,No,1,,Faded,Street_Lights,No,Flat,Straight,Noise_Wall,Industrial,Moderate,Multiple_Types,No_Vehicles,Centered,,0.5002429220411513,0.0,0.0
29208,Daylight,Rainy,Urban,Wet,Low,On_Sidewalk,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5401892730167934,0.0,0.0
29355,Daylight,Cloudy,Residential,Dry,Moderate,On_Sidewalk,No,2,,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.6457380130887032,0.0,0.0
29454,Daylight,Clear,Urban,Dry,Empty,,No,1,,Clear,,No,Flat,Straight,Metal_Guardrail,High_Rise,,,No_Vehicles,Centered,,0.4157955408096313,0.0,0.0
29459,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,5+,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Public_Transit_Focus,Centered,,0.5441862593606576,0.0,0.0
29488,Daylight,Clear,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Concrete_Median,Low_Density_Urban,Moderate,Directional,Passenger_Cars_Only,Centered,,0.49646334271681936,0.0,0.0
29823,Dawn/Dusk,Cloudy,Urban,Wet,Low,,No,2,,Occluded_by_Snow/Water,Street_Lights,No,Flat,Straight,Concrete_Median,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5729071853622314,0.0,0.0
29946,Daylight,Cloudy,Urban,Dry,Moderate,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,Passenger_Cars_Only,Centered,,0.6399379545136502,0.0,0.0
29964,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5977740910123376,0.0,0.0
30421,Daylight,Cloudy,Urban,Dry,Low,,Yes,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.5445977715509278,0.0,0.0
30446,Night,Snowy,Urban,Snow_Covered,Low,On_Sidewalk,No,2,Four-Way,Occluded_by_Snow/Water,Street_Lights,Yes,Flat,Straight,Curb,Low_Density_Urban,,Regulatory,Passenger_Cars_Only,Centered,,0.53359755961334,0.0,0.0
30504,Daylight,Cloudy,Urban,Dry,Low,,No,3,,Clear,,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5403648494063197,0.0,0.0
30532,Daylight,Clear,Urban,Dry,Moderate,,No,1,,Absent,,No,Flat,Straight,Curb,High_Rise,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.6371239282582936,0.0,0.0
30863,Night,Clear,Urban,Dry,Low,On_Sidewalk,No,3,Four-Way,Clear,Street_Lights,Yes,Flat,Straight,Curb,High_Rise,,Directional,Passenger_Cars_Only,Centered,,0.4827032834291458,0.0,0.0
31380,Daylight,Clear,Urban,Dry,High/Congested,On_Sidewalk,Yes,2,Four-Way,Faded,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.6269019279215071,0.0,0.0
31417,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,Mixed_Heavy_Traffic,Centered,,0.5332729586146094,0.0,0.0
31431,Night,Clear,Urban,Dry,Empty,,No,3,,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,No_Vehicles,Centered,,0.3899725485931743,0.0,0.0
31495,Daylight,Rainy,Urban,Wet,High/Congested,On_Sidewalk,No,3,Four-Way,Occluded_by_Snow/Water,Vehicle_Headlights,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Public_Transit_Focus,Centered,,0.5378596959290681,0.0,0.0
31599,Daylight,Clear,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.7291578277945518,0.0,0.0
31895,Night,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,Passenger_Cars_Only,Centered,,0.482712007666889,0.0,0.0
31994,Night,Clear,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,Street_Lights,No,Flat,Straight,Curb,High_Rise,,Multiple_Types,Passenger_Cars_Only,Centered,,0.5927032104560307,0.0,0.0
32025,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,3,Four-Way,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Park-like,Regulatory,Passenger_Cars_Only,Centered,,0.6121295273303986,0.0,0.0
32097,Daylight,Cloudy,Urban,Dry,Low,,Yes,2,,Clear,Street_Lights,No,Uphill,Slight_Right,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.6429699191025325,0.0,0.0
32106,Daylight,Cloudy,Urban,Dry,High/Congested,On_Sidewalk,Yes,2,,Clear,,No,Flat,Straight,Curb,High_Rise,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.7362846831480662,0.0,0.0
32123,Night,Clear,Highway,Dry,Low,,No,3,,Clear,Street_Lights,No,Flat,Straight,Concrete_Median,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered,,0.5051510677887843,0.0,0.0
32232,Daylight,Cloudy,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.6178639167692603,0.0,0.0
32451,Daylight,Clear,Urban,Dry,Moderate,,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.5749891027808189,0.0,0.0
32535,Daylight,Cloudy,Residential,Dry,Low,,No,2,T-Junction,Absent,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.5158253724758441,0.0,0.0
32606,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,Yes,2,Four-Way,Absent,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,,Passenger_Cars_Only,Centered,,0.43008568822121135,0.0,0.0
32668,Night,Clear,Urban,Dry,Low,Crossing_Road,Yes,2,Four-Way,Clear,Street_Lights,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5768431300117124,0.0,0.0
32987,Daylight,Clear,Urban,Dry,Moderate,,No,2,T-Junction,Faded,,Yes,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.6397820985784718,0.0,0.0
33027,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.5332887477063118,0.0,0.0
33030,Daylight,Cloudy,Residential,Dry,Moderate,,No,1,,Absent,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,,Passenger_Cars_Only,Centered,,0.6759446689060756,0.0,0.0
33062,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,3,Four-Way,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Public_Transit_Focus,Centered,,0.50246156561069,0.0,0.0
33070,Dawn/Dusk,Clear,Residential,Dry,Low,,No,2,,Faded,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,,Passenger_Cars_Only,Centered,,0.8283738791942596,0.0,0.0
33075,Daylight,Clear,Urban,Dry,Moderate,,No,2,Roundabout,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5953494450956021,0.0,0.0
33387,Dawn/Dusk,Cloudy,Urban,Dry,High/Congested,,No,2,,Clear,Vehicle_Headlights,No,Flat,Straight,Curb,Low_Density_Urban,,Regulatory,Passenger_Cars_Only,Centered,,0.581032945497616,0.0,0.0
33405,Daylight,Clear,Residential,Dry,Empty,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Park-like,Directional,No_Vehicles,Centered,,0.40853724380334216,0.0,0.0
33518,Night,Cloudy,Urban,Dry,Moderate,,No,2,,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5986587107181549,0.0,0.0
33552,Dawn/Dusk,Rainy,Residential,Wet,Empty,On_Sidewalk,No,2,,Occluded_by_Snow/Water,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,No_Vehicles,Centered,,0.48311492268528256,0.0,0.0
33633,Daylight,Clear,Urban,Snow_Covered,Low,On_Sidewalk,No,2,,Occluded_by_Snow/Water,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5176130714161056,0.0,0.0
33732,Daylight,Clear,Urban,Dry,Moderate,,No,3,Four-Way,Clear,,Yes,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Mixed_Heavy_Traffic,Centered,,0.5506024709855667,0.0,0.0
33778,Dawn/Dusk,Cloudy,Urban,Wet,Moderate,,No,2,Four-Way,Clear,Vehicle_Headlights,No,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5258470154725589,0.0,0.0
33785,Night,Clear,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Faded,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.4569186390592502,0.0,0.0
33795,Daylight,Cloudy,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.5860938007632891,0.0,0.0
33883,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5528904457887014,0.0,0.0
34219,Night,Clear,Tunnel,Dry,Low,,No,3,,Clear,Tunnel_Lights,No,Flat,Straight,Noise_Wall,,,Directional,Passenger_Cars_Only,Centered,,0.7003265817960104,0.0,0.0
34227,Night,Clear,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Faded,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.49313728702373993,0.0,0.0
34323,Daylight,Cloudy,Urban,Dry,Moderate,,No,2,,Clear,,No,Flat,Straight,Noise_Wall,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.5614794233911916,0.0,0.0
34418,Daylight,Cloudy,Urban,Dry,Empty,,No,1,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,No_Vehicles,Centered,,0.4770946362439324,0.0,0.0
34434,Daylight,Cloudy,Residential,Dry,Moderate,,No,1,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,,Passenger_Cars_Only,Centered,,0.6489684659501781,1.0,0.0
34436,Daylight,Cloudy,Residential,Dry,Low,On_Sidewalk,No,1,,Absent,,Yes,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5868141668684342,0.0,0.0
34529,Daylight,Rainy,Residential,Wet,Low,On_Sidewalk,No,2,,Faded,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.4698072254657745,0.0,0.0
